street_raw,postal_code,n_patients,normalized,site_class,is_facility_address,in_town_cochrane,counts_as_prior_residence,needs_review
BETHANY COCHRANE LTC,T4C 1X9,14,BETHANY COCHRANE LTC,Bethany Cochrane campus,1,1,0,0
"1000, 32 QUIGLEY DR",T4C 1X9,4,1000 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
BETHANY COCHRANE LTC,T0L 0W4,4,BETHANY COCHRANE LTC,Bethany Cochrane campus,1,1,0,0
,,3,,BLANK / no address,0,0,0,1
BETHANY COCHRANE,T4C 1X9,2,BETHANY COCHRANE,Bethany Cochrane campus,1,1,0,0
BETHANY LTC,,2,BETHANY LTC,Bethany Cochrane campus,1,1,0,0
15 WEST BOOTHBY CRES,T4C 1L9,2,15 WEST BOOTHBY CRES,Private dwelling - Town of Cochrane,0,1,1,0
64 MONTENARO BAY,T4C 0A5,2,64 MONTENARO BAY,Private dwelling - Town of Cochrane,0,1,1,0
228 207 SUNSET DR,T4C 0H7,1,228 207 SUNSET DR,Alora / Sunset Ridge,1,1,0,0
228-207 SUNSET DR (ALORA IN SUNSET RIDGE),T4C 0H7,1,228 207 SUNSET DR ALORA IN SUNSET RIDGE,Alora / Sunset Ridge,1,1,0,0
410 207 SUNSET DR,T4C 0H7,1,410 207 SUNSET DR,Alora / Sunset Ridge,1,1,0,0
,T4C 3C2,1,,BLANK / no address,0,0,0,1
,T4C 1L9,1,,BLANK / no address,0,0,0,1
,T4C 1A7,1,,BLANK / no address,0,0,0,1
"1000, 32 QUIGLEY DR",,1,1000 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
"1000, 32 QUIGLEY DRIVE",T1W 1W1,1,1000 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
1000 -32 QUIGLEY DRIVE,T4C 1X9,1,1000 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
1000- 32 QUIGLEY DR,T4C 1X9,1,1000 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
"1000, 32 QUIGLEY DR",T3B 5V5,1,1000 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
1000 32 QUIGLEY DR,T4C 1M2,1,1000 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
1000-32 QUIGLEY DRIVE,T4C 1X9,1,1000 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
"1000, 32 QUIGLEY DRIVE",T4C 1X9,1,1000 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
32 QUIGLEY DR,T4C 1X9,1,32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
"401-2, 1000-32 QUIGLEY DR ( BETHANY LODGE)",T4C 1X9,1,401 2 1000 32 QUIGLEY DR BETHANY LODGE,Bethany Cochrane campus,1,1,0,0
402-32 QUIGLEY DR  BETHANY COCHRANE,T4C 1X9,1,402 32 QUIGLEY DR BETHANY COCHRANE,Bethany Cochrane campus,1,1,0,0
"405 1-2, 1000 - 32 QUIGLEY DR",T4C 1X9,1,405 1 2 1000 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
509 - 1000 32 QUIGLEY DR,T4C 0S9,1,509 1000 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
